1000m        1 SIM 1000公里
WDRAGON   1429 SLG 臥龍傳
WLONG     1430 RPG 烏龍院
UTOPIA    1431 SLG 烏托邦國家崛起
WH        1432 ACT 巫魔天境
WH2       1433 ACT 巫魔天境2
cauldron  1434 ACT 巫師大坩堝
S101      1435 AVG 巫師學校1追女記
S201      1436 AVG 巫師學校2入學記
S301      1437 AVG 巫師學校3春假
wizar1    1438 RPG 巫術1
wizar2    1439 RPG 巫術2
wizar3    1440 RPG 巫術3
wizar4    1441 RPG 巫術4
wizar5    1442 RPG 巫術5
wizar6    1443 RPG 巫術6
WIZARDRY  1444 RPG 巫術7失落的加帝亞
GUNSHIP   1445 SIM 無敵飛狼
CRUSADER  1446 ACT 無悔的十字軍
REGRET    1447 ACT 無悔的十字軍2
lhd       1448 AVG 無盡的黑暗
lhalf2    1449 AVG 無盡的黑暗2
LHD3      1450 AVG 無盡的黑暗3
idesire   1451 SLG 無盡的野心
ud        1452 SLG 無盡空間
KUSURI    1453 HGA 無名指的教科書
SCREAM    1454 AVG 無聲狂嘯
GENESIA   1455 SIM 無限空間
KICK      1456 ACT 無限制擂台賽
lordsmid  1457 RPG 午夜領主
WZX       1458 ACT 伍子胥
BUDO      1459 ACT 武道館
VG        1460 HGA 武姬神傳說
WJZB      1461 ACT 武將爭霸
SGWU2     1462 ACT 武將爭霸2
WOOLIN    1463 RPG 武林奇俠傳
xs        1464 ACT 武裝還擊
MASTER    1465 RPG 武狀元黃飛鴻
UNS       1466 SIM 物競天不擇
WKING     1467 RPG 西楚霸王
FENG      1468 ACT 西洋封神榜
ARMYC     1469 PUZ 西洋陸軍棋
CHECKERS  1470 PUZ 西洋跳棋(共享版)
WEST      1471 ACT 西遊記
XYJWZ     1472 RPG 西遊記外傳
vamptow   1473 AVG 吸血鬼之塔
LMAN      1474 PUZ 蜥蜴超人
XXWAR     1475 PUZ 嬉笑春秋
SSHOCK    1476 ACT 系統震盪
gtados    1477 ACT 俠盜獵車手
XIAKE     1478 RPG 俠客英雄傳
shk3      1479 RPG 俠客英雄傳3
LUNA2     1480 RPG 俠客遊2
XIA       1481 RPG 俠影記
xjs       1482 HGA 下級生(日)
SUMMER    1483 AVG 夏日物語
PAL       1484 RPG 仙劍奇俠傳光盤版
PALE      1485 RPG 仙劍奇俠傳加強版
PALM      1486 RPG 仙劍奇俠傳夢幻版
FTA       1487 RPG 仙境傳奇1
FTA2      1488 RPG 仙境傳奇2亡者之庁
xenon1    1489 ACT 氙星異形
xenon2    1490 ACT 氙星異形2
clue      1491 AVG 線索
framed    1492 ACT 陷害之人
BANANA    1493 HGA 香蕉俱樂部
KANSO     1494 SLG 項劉記
CCH3      1495 PUZ 象棋大師3將族
CHETRIS   1496 PUZ 象棋俄羅斯
fireteam  1497 SIM 消防隊
BOXE      1498 ACT 囂張拳王
homey     1499 AVG 小丑荷米
divil     1500 AVG 小惡魔
pan       1501 AVG 小飛俠
HA        1502 ACT 小鬼當家
HA2       1503 ACT 小鬼當家2
SEXEDU    1504 HGA 小惠的性知識
PGSP      1505 ACT 小精靈歷險
PEPPER    1506 AVG 小辣椒時空之旅
lemris    1507 PUZ 小旅鼠俄羅斯
GALAXIA   1508 ACT 小蜜蜂
inva      1509 ACT 小蜜蜂初代
gremlins  1510 ACT 小魔怪2
aracnofo  1511 ACT 小魔星/蜘蛛恐懼症
LF1       1512 ACT 小朋友齊打交
LESMAN    1513 AVG 小人物狂想曲
MONKO     1514 RPG 小沙彌
elf       1515 ACT 小妖精
YG        1516 PUZ 校園大富翁
SA        1517 RPG 笑傲江湖
vampire   1518 RPG 邪靈世紀
XSHEN     1519 RPG 邪神
EVILGOD   1520 RPG 邪神傳說
EVILAND   1521 RPG 邪神大地
swars     1522 SLG 辛迪加戰爭
sbartvs   1523 ACT 辛普森大戰外星人
krusty    1524 ACT 辛普森小丑屋
SIMPSON   1525 ACT 辛普森一家
SIMP2     1526 ACT 辛普森一家2古怪之屋
wman      1527 ACT 新狼人摩天樓
BEAUTY    1528 HGA 新美女拳
newage    1529 RPG 新世紀興亡史
cnewwor   1530 SLG 新世界征服者
nova9     1531 SIM 新星9龍機歸來
NOBU1     1532 SLG 信長之野望
NOBU2     1533 SLG 信長之野望2
NOBU4     1534 SLG 信長之野望4
NOBU5     1535 SLG 信長之野望5
NOBU6     1536 SLG 信長之野望6
STARDUST  1537 ACT 星塵
oasis     1538 SIM 星城綠洲計劃
COMMADVS  1539 SIM 星河艦長歷險記
strlords  1540 SLG 星際霸主
STRFLIN   1541 RPG 星際航艦
fragile   1542 SLG 星際聯盟
stjudge   1543 AVG 星際迷航裁決儀式
stargun   1544 ACT 星際炮手
BAT       1545 AVG 星際調查局
BAT2      1546 AVG 星際調查局2
imperium  1547 SLG 星際統治者
srangers  1548 SIM 星際遊騎兵
SHAMMER   1549 ACT 星際之錘
XWINGCD   1550 SIM 星球大戰X戰機
swdark    1551 ACT 星球大戰暗影力量
SWCHESS   1552 PUZ 星球大戰國際象棋
ssw       1553 ACT 星球大戰絕地反擊
TIE       1554 SIM 星球大戰鈦戰機
rift      1555 ACT 星球裂痕
PLANET    1556 ACT 星球突擊
starfire  1557 ACT 星球之火
starcomr  1558 RTS 星球指揮革命
SCEG      1559 ACT 星世紀戰將
STARMOON  1560 RPG 星月奇緣
XL        1561 SIM 杏林也瘋狂(主題醫院台版)
RS402     1562 PUZ 幸福人生
BTH       1563 PUZ 幸運賭場
gender    1564 SLG 性別戰爭
sextris   1565 HGA 性感俄羅斯
sdr       1566 HGA 性感機器
SEXY      1567 HGA 性感戰士
PANDA     1568 PUZ 熊貓大進擊
unrealW   1569 RPG 虛幻之地
VGOLF     1570 SIM 虛擬高爾夫
VPOOL     1571 PUZ 虛擬桌球
SWD       1572 RPG 軒轅劍1
SWD2      1573 RPG 軒轅劍2
SWDA      1574 RPG 軒轅劍外傳楓之舞
XYSZL     1575 SPG 軒轅聖戰錄
VOTE      1576 SLG 選舉風雲
REIKO     1577 HGA 學園退魔傳
SETU      1578 HGA 雪貓
snows     1579 SIM 雪中出擊
BLOODNET  1580 AVG 血巢
BLOOD     1581 ACT 血祭
blstdwar  1582 RPG 血石矮人傳奇
bwych     1583 RPG 血巫
BAM       1584 RTS 血與魔法
RIPTID    1585 ACT 尋找激流博士
equest    1586 AVG 尋找鯨魚座
ARESS     1587 SPG 亞里士王物語
AQ        1588 AVG 亞馬遜女皇之旅
ATRAIL    1589 SIM 亞馬遜小道
AMAZONE   1590 AVG 亞馬遜伊甸園守衛者
kort      1591 SLG 亞瑟王豪華版
FD        1592 SPG 炎龍騎士團
FD2       1593 SPG 炎龍騎士團2
FDPS      1594 SPG 炎龍騎士團外傳
CM2       1595 HGA 眼鏡蛇任務
YGD       1596 HGA 妖擊隊
YMD       1597 RPG 妖魔道
YT2189    1598 HGA 妖塔2189
75        1599 ACT 搖滾少林之七俠五義
STRONG    1600 SIM 要塞
YEAGER    1601 SIM 耶基戰機
OPWOLF    1602 ACT 野狼行動
clonk     1603 SIM 野人生存
clonkape  1604 SIM 野人生存2
clonk3    1605 SIM 野人生存3
DYLANDOG  1606 AVG 夜之亡靈
osb       1607 PUZ 一步之遙
GPU       1608 SIM 一級方程式賽車
DIMECITY  1609 HGA 一角城市
DANGER    1610 SLG 一線生機
eden      1611 RTS 伊甸風暴
igorpu    1612 AVG 伊貢的假期
eracha    1613 ACT 伊雷查歷險記
EYD       1614 RPG 伊忍道
yser      1615 RPG 伊瑟比斯的陰影
YS        1616 RPG 伊蘇
LND       1617 SIM 醫生也瘋狂
LD2       1618 SIM 醫生也瘋狂2
anci1     1619 RPG 遺蹟1死亡守望
anci2     1620 RPG 遺蹟2邪惡臨近
isaku     1621 HGA 遺作(日）
ISHAR     1622 RPG 以撒1英雄堡壘
ISHAR2    1623 RPG 以撒2末日使者
SHAR3     1624 RPG 以撒3永恆之門
ETIN      1625 RPG 倚天屠龍記
megatrav  1626 RPG 億兆旅行者1
mt2       1627 RPG 億兆旅行者2
GEISHA    1628 HGA 藝妓
MAAN      1629 RPG 異次元之旅
FLY       1630 RPG 異次元之旅武者傳說
HERETIC   1631 ACT 異教徒
HEXEN     1632 ACT 異教巫師
HEXX      1633 RPG 異教巫師RPG
HEXED     1634 ACT 異教巫師黑暗教堂的死神
av        1635 AVG 異星病毒
ALIENLG   1636 RPG 異星邏輯
DIG       1637 AVG 異星搜奇
GC        1638 SPG 異星突擊
ALIENL    1639 SLG 異星遺蹟
bargon    1640 AVG 異形巴貢
HARRY     1641 ACT 異形殘殺:萬聖節哈利
ZAK       1642 AVG 異形大進擊
ALIENB    1643 ACT 異形繁殖
ALIEN2    1644 ACT 異形繁殖2
ablock    1645 PUZ 異形方塊
aphobia   1646 ACT 異形恐懼症
ALIENTRI  1647 ACT 異形三部曲
incident  1648 AVG 異形事件
aliencab  1649 ACT 異形陰謀
TOPY      1650 RPG 異域神兵諸神詛咒
loco      1651 PUZ 益智軌道
FUNPACK   1652 PUZ 益智問題集
ITALY     1653 SIM 意大利足球經理
inca      1654 SIM 因卡戰機
inca2     1655 SIM 因卡戰機2
kgb       1656 AVG 陰謀論
yendor1   1657 RPG 銀多瑞傳奇1
yendor2   1658 RPG 銀多瑞傳奇2
yendor3   1659 RPG 銀多瑞傳奇3
ORION1    1660 SLG 銀河霸主(獵戶座之王)
ORION2    1661 SLG 銀河霸主2
GLH       1662 SLG 銀河帝國傳
wingc     1663 SIM 銀河飛將1
ARM2      1664 SIM 銀河飛將2
ARM1      1665 SIM 銀河飛將阿曼達
WCSM      1666 SIM 銀河飛將先鋒+資料片
wca       1667 SIM 銀河飛將訓練營
RLEGION   1668 SLG 銀河風暴
GFLEET    1669 SLG 銀河艦隊
solarwin  1670 RPG 銀河太陽風
bounty    1671 SPG 銀河英雄
GIN3      1672 SLG 銀河英雄傳說3
gin4ex    1673 SLG 銀河英雄傳說4EX
MACH      1674 ACT 銀河戰士
SILVER95  1675 PUZ 銀色彈球95
poca      1676 ACT 印第安公主
INDY3ACT  1677 ACT 印第安那瓊斯AtlantisAct
ATLANTIS  1678 AVG 印第安那瓊斯亞特蘭蒂斯
lords     1679 SLG 英倫霸主
l2d       1680 SLG 英倫霸主2+資料片
ED1       1681 RPG 英雄傳說1
ED2       1682 RPG 英雄傳說2
ED3       1683 RPG 英雄傳說3
ED4       1684 RPG 英雄傳說4
G2        1685 SPG 英雄聖戰
HEROQ     1686 RPG 英雄使命
dick      1687 RPG 英雄戰記
SAKURA    1688 HGA 櫻花的季節
eagleye   1689 AVG 鷹眼傳說:倫敦
tegel     1690 SPG 傭兵1鐵格部隊
strikes   1691 SPG 傭兵2突擊部隊
magcand1  1692 RPG 永恆之燭1
magcand2  1693 RPG 永恆之燭2
magcand3  1694 RPG 永恆之燭3
BATMANF   1695 ACT 永遠的蝙蝠俠
RAYMAN    1696 ACT 永遠的雷曼
Rayman    1697 ACT 永遠的雷曼自制關
LOV       1698 RPG 勇士傳奇
HL        1699 RPG 勇者傳說
DQ1       1700 RPG 勇者鬥惡龍
DQ2       1701 RPG 勇者鬥惡龍2
DQ3       1702 RPG 勇者鬥惡龍3
HILLSFAR  1703 RPG 幽城寶藏
XCOM1     1704 SLG 幽浮1未知敵人
XCOM2     1705 SLG 幽浮2深海之謎題
xcomapo   1706 SLG 幽浮3天啟
xcoma     1707 SLG 幽浮3天啟光碟版
DONTGO    1708 RPG 幽靈館
yogho     1709 ACT 悠悠大作戰
CRUISE    1710 AVG 游輪兇案
lure      1711 AVG 誘惑
SQ4       1712 AVG 宇宙傳奇7
univcore  1713 AVG 宇宙大冒險
HULK      1714 ACT 宇宙方舟/太空巨人
SILPHEED  1715 ACT 宇宙神風號
scrusade  1716 SPG 宇宙十字軍
spaceace  1717 ACT 宇宙王牌
spacea2   1718 ACT 宇宙王牌2
UH386     1719 ACT 宇宙英雄
hugoe     1720 ACT 雨果
HUGO1     1721 AVG 雨果的恐怖之屋1
HUGO2     1722 AVG 雨果的恐怖之屋2
HUGO3     1723 AVG 雨果的恐怖之屋3
corncob   1724 SIM 玉米飛機大戰外星人
UPT       1725 HGA 玉蒲團
proph     1726 AVG 預言
vchild    1727 ACT 預言維金之子
FABLE     1728 AVG 寓言
ELEMENTS  1729 PUZ 元素球
PROTO     1730 SIM 原恆星戰爭前線
ugh       1731 ACT 原始運輸機
atomix    1732 PUZ 原子推箱子
MS        1733 ACT 月亮石騎士
mpatrol   1734 ACT 月球巡邏
LC        1735 SIM 月球指揮官
CLOUD     1736 ACT 云國小精靈
ASTRO     1737 ACT 隕石射擊
meteor    1738 ACT 隕星任務
DART      1739 SLG 運鏢天下
TRANS     1740 SIM 運輸大亨
strike2   1741 SIM 再度出擊
XANTH     1742 AVG 贊斯的同伴
cosmos    1743 ACT 扎克宇宙歷險記
DYNA      1744 PUZ 炸彈超人
dynamo    1745 ACT 炸彈隊長
BOMBX     1746 HGA 炸彈人X
jamesp2   1747 ACT 詹姆斯龐德2
ZAN3      1748 SLG 斬3(日文)
erad      1749 ACT 斬草除根
bbugs     1750 RTS 戰蟲
KM        1751 PUZ 戰地大亨
ward      1752 RTS 戰地日記
BATTLEM   1753 ACT 戰鬥大師
opcombat  1754 SLG 戰鬥行動
opcomba2  1755 SLG 戰鬥行動2
batlchez  1756 SLG 戰鬥起司
HEROY     1757 RPG 戰鬥巫師
battlewr  1758 ACT 戰鬥之怒
ZF        1759 ACT 戰斧
SENGOKU   1760 SLG 戰國時代
METALACE  1761 ACT 戰機少女
jets      1762 ACT 戰機突襲
revenge   1763 SLG 戰甲:月鷹復仇
spoils    1764 SLG 戰利品
CHESS     1765 PUZ 戰棋1-國際象棋
CHESS2    1766 PUZ 戰棋2-中國象棋
bc4000    1767 PUZ 戰棋4000
WARLORDS  1768 SLG 戰神
WARLORD2  1769 SLG 戰神2
WAR2D     1770 SLG 戰神2豪華版
warl2e    1771 SLG 戰神2英版+編輯器
TFX       1772 SIM 戰術飛行試驗
LW2       1773 ACT 戰線
BZONE     1774 ACT 戰線1981
MKAW      1775 SLG 戰爭王國
airborn   1776 SLG 戰爭遊戲
wargames  1777 SLG 戰爭遊戲合集
BI1       1778 SPG 戰爭之島
BI193     1779 SPG 戰爭之島1993
BI2       1780 SPG 戰爭之島2020
warchess  1781 SPG 戰爭之旗
MOW       1782 SLG 戰爭之人
LONGBOW   1783 AVG 長弓傳說－羅賓漢
HERO      1784 ACT 長槍英雄
origamo   1785 PUZ 摺紙迷宮
laurabow  1786 AVG 偵探勞拉2
zool      1787 ACT 珍寶珠小子
ZOOL2     1788 ACT 珍寶珠小子2
ZHDSY     1789 AVG 真紅的殺意
MK        1790 ACT 真人快打
MK2       1791 ACT 真人快打2
MK3       1792 ACT 真人快打3
vrsoccer  1793 SIM 真實足球
asoclub   1794 SIM 真實足球俱樂部版
CRW       1795 SLG 鎮暴特遣隊
clkgame   1796 PUZ 爭分奪秒
CONQUER   1797 SLG 征服：AD1086
TWMJ      1798 PUZ 正宗台灣16張麻將
TWMJ2     1799 PUZ 正宗台灣16張麻將2
ascend    1800 SLG 支配力量
AIRLIFT   1801 ACT 直升機救援隊
seekdest  1802 ACT 直升機搜敵記
BASEBALL  1803 SIM 職業棒球聯賽
COLONIZE  1804 SLG 殖民帝國
ZMJY      1805 RTS 殖民計劃
MERCHANT  1806 SIM 殖民世紀
LORD      1807 AVG 指環王
LORD2     1808 AVG 指環王2
keen1     1809 ACT 指揮官基恩1
CKxBM     1810 ACT 指揮官基恩10民間版
keen2     1811 ACT 指揮官基恩2
keen3     1812 ACT 指揮官基恩3
kdreams   1813 ACT 指揮官基恩3.5
keen4     1814 ACT 指揮官基恩4
keen5     1815 ACT 指揮官基恩5
keen6     1816 ACT 指揮官基恩6
keen7     1817 ACT 指揮官基恩7民間版
keen8     1818 ACT 指揮官基恩8民間版
KEEN9     1819 ACT 指揮官基恩9民間版
bobk      1820 ACT 至高跆拳道冠軍賽
fatalrc   1821 SIM 致命車賽
POISON    1822 HGA 致命毒藥
fatalcha  1823 ACT 致命挑戰
BASK      1824 ACT 智冠杯灌籃大賽
OXYD      1825 PUZ 智慧彈珠
SCHOOL    1826 SIM 智聖鮮師
ZGC       1827 SIM 中關村啟示錄
CHINA     1828 SIM 中國
CAAC      1829 SIM 中國民航
CF        1830 SIM 中國球王
HOC       1831 AVG 中國之心
CPB       1832 SIM 中華職棒
CI        1833 SLG 中央情報局
ZYBJ      1834 SPG 中原鏢局
tterror   1835 ACT 終端恐懼
BODY      1836 ACT 終極快打
UMZ       1837 SPG 終極任務
tv        1838 SIM 終極速度
MARS      1839 ACT 終極戰士
term2029  1840 ACT 終結者2029
termi2    1841 ACT 終結者2射擊版
genocide  1842 SLG 種族滅絕
INTERPOS  1843 ACT 仲裁者
WOLF3D    1844 ACT 重返德軍總部3D
baryon    1845 ACT 重甲機神
DELTAV    1846 SIM 重力戰機
SPELLC    1847 RPG 咒語鍛造
spelcros  1848 SPG 咒語交叉
JP        1849 ACT 侏儸紀公園
PWAR      1850 RTS 侏儸紀聖戰
DUSK      1851 RPG 諸神的黃昏
ZSFY      1852 RPG 諸神封印
park      1853 SIM 主題公園磁碟版
themep    1854 SIM 主題公園光碟版
HOSPITAL  1855 SIM 主題醫院
CASTLES   1856 SIM 築城大師
castles2  1857 SIM 築城大師2
catch     1858 ACT 抓住他們
PTT2      1859 SIM 專業網球巡迴賽
TENKOU    1860 HGA 轉校生
TSP       1861 HGA 轉校生-天使們的午後
TSP2      1862 HGA 轉校生-天使們的午後2
ARMOUR    1863 SIM 裝甲守護
MTANK     1864 SIM 裝甲雄獅
PG        1865 SLG 裝甲元帥
topgun    1866 SIM 壯志凌云
POOLB     1867 PUZ 撞球補習班
GB2       1868 ACT 捉鬼敢死隊2
zzt       1869 ACT 字符世界歷險記
7SEA      1870 RPG 縱橫七海
CORR7     1871 ACT 走廊:異形入侵
SOCCERS   1872 SIM 足球超級明星
esoccer   1873 SIM 足球帝國
LOTHAR    1874 SIM 足球經理人
soccerki  1875 ACT 足球小子
JOSI      1876 SIM 卒業
TRAVEL    1877 HGA 卒業旅行
digit     1878 ACT 鑽地小精靈
LASTN     1879 ACT 最後的忍者
thelastk  1880 ACT 最後的武士
deadline  1881 SLG 最後期限
FINAL     1882 SPG 最後武力
crimecit  1883 AVG 罪惡都市
crimfigt  1884 PUZ 罪惡剋星
ZORRO     1885 ACT 佐羅
corp      1886 ACT 作戰集團
